"ref_id","ref_code","first_author","ref_year","title","ref_type","citation_bibtex"
1,"hardyCatalogueVegetauxCultives1850","Hardy",1850,"Catalogue des Végétaux Cultivés à la Pépinière Centrale du Gouvernement à Alger","Botanic garden or arboretum","@book{hardyCatalogueVegetauxCultives1850, title = {{Catalogue des V\'eg\'etaux Cultiv\'es \`a la P\'epini\`ere Centrale du Gouvernement \`a Alger}}, author = {Hardy, Auguste}, year = {1850}, publisher = {{Imprimerie du Gouvernement}}, address = {{Alger}}, langid = {french} } "
4,"hamdyFloristicCompositionHistorical2007","Hamdy",2007,"The floristic composition of some historical botanical gardens in the metropolitan of Cairo, Egypt","Botanic garden or arboretum","@article{hamdyFloristicCompositionHistorical2007, title = {The floristic composition of some historical botanical gardens in the metropolitan of {{Cairo}}, {{Egypt}}}, author = {Hamdy, R.S. and {Abd El-Ghani}, M.M. and Youssef, T.L. and {El-Sayed}, M.}, year = {2007}, journal = {African Journal of Agricultural Research}, volume = {2}, number = {11}, pages = {610--648}, langid = {english} } "
9,"miquelCatalogusHortiBotanici1815","Miquel",1815,"Catalogus Horti Botanici Amstelodamensis","Botanic garden or arboretum","@book{miquelCatalogusHortiBotanici1815, title = {{Catalogus Horti Botanici Amstelodamensis}}, author = {Miquel, F. A. W. and Groenewegen, J. C.}, year = {1815}, publisher = {{M. Westerman and Filium}}, address = {{Amsterdam}}, langid = {dutch} } "
11,"mohamedSurveyEvaluationDocumentation2014","Mohamed",2014,"Survey, evaluation and documentation of the cultivated plants in Aswan Botanical Garden, Egypt","Botanic garden or arboretum","@article{mohamedSurveyEvaluationDocumentation2014, title = {Survey, evaluation and documentation of the cultivated plants in {{Aswan Botanical Garden}}, {{Egypt}}}, author = {Mohamed, A. A. and Habeeb, H. R. and Azer, S. A.}, year = {2014}, journal = {Bulletin of the Faculty of Agriculture of Cairo University}, volume = {65}, pages = {21--37}, langid = {english} } "
14,"tanTaxonomyVascularPlants2013","Tan",2013,"Taxonomy of vascular plants in botanical garden, Baguio City","Botanic garden or arboretum","@techreport{tanTaxonomyVascularPlants2013, title = {Taxonomy of vascular plants in botanical garden, {{Baguio City}}}, author = {Tan, Racquel}, year = {2013}, month = jul, langid = {english} } "
15,"arinasaAlphabeticalListPlant2017","Arinasa",2017,"An alphabetical list of plant species cultivated in Bali Botanic Garden","Botanic garden or arboretum","@book{arinasaAlphabeticalListPlant2017, title = {An alphabetical list of plant species cultivated in {{Bali Botanic Garden}}}, editor = {Arinasa, Ida Bagus Ketut and Adjie, Bayu and Putri, Dyan Meiningsasi Siswoyo}, year = {2017}, publisher = {{LIPI Press}}, address = {{Menteng, Jakarta}}, isbn = {978-979-799-872-1}, langid = {english}, lccn = {QK73.I52 K455 2017}, keywords = {Botany,Catalogs,Catalogs and collections,Indonesia Bali (Province),Kebun Raya ""Eka Karya"" Bali,{Plants, Cultivated}} } "
17,"cylburnarboretumfriendsWoodyPlantInventory2023","Cylburn Arboretum",2023,"Woody Plant Inventory","Botanic garden or arboretum","@misc{cylburnarboretumfriendsWoodyPlantInventory2023, title = {Woody {{Plant Inventory}}}, author = {{Cylburn Arboretum Friends}}, year = {2023}, url = {https://cylburn.org/explore/collections/woody-plant-inventory-and-map/} } "
21,"dancerCataloguePlantsExotic1792","Dancer",1792,"Catalogue of plants, exotic and indigenous, in the botanical garden, Jamaica","Botanic garden or arboretum","@book{dancerCataloguePlantsExotic1792, title = {Catalogue of plants, exotic and indigenous, in the botanical garden, {{Jamaica}}}, author = {Dancer, Thomas}, year = {1792}, publisher = {{Alexander Aikman}}, address = {{St. Jago de la Vega}} } "
24,"teijsmannCatalogusVanLands1866","Teijsmann",1866,"Catalogus van ’s Lands Plantentuin te Buitenzorg","Botanic garden or arboretum","@book{teijsmannCatalogusVanLands1866, title = {Catalogus van 's {{Lands Plantentuin}} te {{Buitenzorg}}}, author = {Teijsmann, J.E.}, year = {1866}, publisher = {{Ter Lands-Drukkerij}}, address = {{Batavia}} } "
26,"thearnoldarboretumInventoryLivingCollections2007","Arnold Arboretum",2007,"Inventory of Living Collections","Botanic garden or arboretum","@techreport{thearnoldarboretumInventoryLivingCollections2007, title = {Inventory of {{Living Collections}}}, author = {{The Arnold Arboretum}}, year = {2007}, month = sep, pages = {220}, institution = {{Harvard University}} } "
29,"inalanaturetoursInalaJurassicGarden2020","Inala Nature Tours",2020,"Inala Jurassic Garden Plant Catalogue","Botanic garden or arboretum","@misc{inalanaturetoursInalaJurassicGarden2020, title = {Inala {{Jurassic Garden Plant Catalogue}}}, author = {{Inala Nature Tours}}, year = {2020}, url = {https://jurassicgarden.com.au} } "
32,"donnHortusCantabrigiensisCatalogue1796","Donn",1796,"Hortus Cantabrigiensis: or A Catalogue of Plants, Indigenous and Foreign Cultivated in the Walkerian Botanic Garden, Cambridge","Botanic garden or arboretum","@book{donnHortusCantabrigiensisCatalogue1796, title = {Hortus {{Cantabrigiensis}}: or {{A Catalogue}} of {{Plants}}, {{Indigenous}} and {{Foreign Cultivated}} in the {{Walkerian Botanic Garden}}, {{Cambridge}}}, author = {Donn, James}, year = {1796}, publisher = {{John Burges}}, address = {{Cambridge}} } "
33,"peckCatalogueAmericanForeign1818","Peck",1818,"A Catalogue of American and Foreign Plants, Cultivated in the Botanic Garden, Cambridge, Massachusetts","Botanic garden or arboretum","@book{peckCatalogueAmericanForeign1818, title = {A {{Catalogue}} of {{American}} and {{Foreign Plants}}, {{Cultivated}} in the {{Botanic Garden}}, {{Cambridge}}, {{Massachusetts}}}, author = {Peck, W.D.}, year = {1818}, publisher = {{Hilliard and Metcalf, University Press}}, address = {{Cambridge}} } "
35,"lasserCatalogoPlantasQue1974","Lasser",1974,"Catalogo de las plantas que crecen en El Jardin Botanico del Ministerio de Agricultura y Cria, Caracas","Botanic garden or arboretum","@article{lasserCatalogoPlantasQue1974, title = {{Catalogo de las plantas que crecen en El Jardin Botanico del Ministerio de Agricultura y Cria, Caracas}}, author = {Lasser, Tob{\'i}as and Braun, Augusto and Steyermark, Julian}, year = {1974}, journal = {Acta Bot{\'a}nica Venezu{\'e}lica}, volume = {9}, number = {1/4}, pages = {9--61}, langid = {spanish} } "
39,"botanicksocietyCataloguePlantsBotanick1810","Botanick Society",1810,"Catalogue of plants in the botanick garden of South-Carolina","Botanic garden or arboretum","@book{botanicksocietyCataloguePlantsBotanick1810, title = {Catalogue of plants in the botanick garden of {{South-Carolina}}}, author = {{Botanick Society}}, year = {1810}, publisher = {{E. Morford}}, address = {{Charleston}} } "
40,"cleghornHortusMadraspatensisCatalogue1853","Cleghorn",1853,"Hortus Madraspatensis","Botanic garden or arboretum","@book{cleghornHortusMadraspatensisCatalogue1853, title = {Hortus {{Madraspatensis}}: {{Catalogue}} of {{Plants}}, {{Indigenous}} and {{Naturalized}}, in the {{Agri-horticultural Society}}'s {{Gardens}}, {{Madras}}}, author = {Cleghorn, H.}, year = {1853}, publisher = {{American Mission Press}}, address = {{Madras}} } "
44,"hornemannHortusRegiusBotanicus1813","Hornemann",1813,"Hortus regius botanicus hafniensis in usum Tyrinum et Botanophilorum","Botanic garden or arboretum","@book{hornemannHortusRegiusBotanicus1813, title = {Hortus regius botanicus hafniensis in usum {{Tyrinum}} et {{Botanophilorum}}}, author = {Hornemann, J. W.}, year = {1813}, publisher = {{A. H. M{\""o}lleri}}, address = {{Copenhagen}} } "
45,"giffordarboretumJohnGiffordArboretum2018","Gifford Arboretum",2018,"John C. Gifford Arboretum Catalog of Plants","Botanic garden or arboretum","@techreport{johnc.giffordarboretumJohnGiffordArboretum2018, title = {John {{C}}. {{Gifford Arboretum Catalog}} of {{Plants}}}, author = {{John C. Gifford Arboretum}}, year = {2018}, pages = {65}, address = {{Coral Gables, Florida}}, institution = {{University of Miami}} } "
50,"denverbotanicgardensGardensNavigator2022","Denver Botanic Gardens",2022,"Gardens Navigator","Botanic garden or arboretum","@misc{denverbotanicgardensGardensNavigator2022, title = {Gardens {{Navigator}}}, author = {{Denver Botanic Gardens}}, year = {2022}, url = {http://navigate.botanicgardens.org/FindPlant.html} } "
51,"loudonDerbyArboretum1840","Loudon",1840,"The Derby Arboretum","Botanic garden or arboretum","@book{loudonDerbyArboretum1840, title = {The {{Derby Arboretum}}}, author = {Loudon, John Claudius}, year = {1840}, publisher = {{Longman, Orme, Brown, Green, and Longmans}}, address = {{London}} } "
53,"lavalleCatalogueGeneralPlantes1854","Lavalle",1854,"Catalogue général des plantes cultivées au jardin botanique de la ville de Dijon","Botanic garden or arboretum","@book{lavalleCatalogueGeneralPlantes1854, title = {Catalogue g{\'e}n{\'e}ral des plantes cultiv{\'e}es au jardin botanique de la ville de {{Dijon}}}, author = {Lavalle, M. J.}, year = {1854}, publisher = {{Loireau-Feuchot}}, address = {{Dijon}} } "
55,"depaulacostaLevantamentoFloristicoMapeamento2011","de Paula Costa",2011,"Levantamento florístico e mapeamento do arboreto da Universidade Tecnológica Federal do Paraná, Câmpus Dois Vizinhos","Botanic garden or arboretum","@inproceedings{depaulacostaLevantamentoFloristicoMapeamento2011, title = {Levantamento flor{\'i}stico e mapeamento do arboreto da {{Universidade Tecnol{\'o}gica Federal}} do {{Paran{\'a}}}, {{C{\^a}mpus Dois Vizinhos}}}, booktitle = {I {{Congresso}} de {{Ci{\^e}ncia}} e {{Tecnologia}} da {{UTFPR}} {\textendash} {{C{\^a}mpus Dois Vizinhos}}}, author = {{de Paula Costa}, Ciro Duarte and Estevan, Daniela Aparecida and {da SIlva}, Val{\'e}ria Mariano and Gorenstein, Mauricio Romero}, year = {2011}, month = oct, pages = {307--311}, address = {{Universidade Tecnol{\'o}gica Federal do Paran{\'a}}} } "
60,"hamdyStudyPlantDistribution2010","Hamdy",2010,"A study of plant distribution in nine historic gardens in Egypt","Botanic garden or arboretum","@article{hamdyStudyPlantDistribution2010, title = {A study of plant distribution in nine historic gardens in {{Egypt}}}, author = {Hamdy, R.S.}, year = {2010}, journal = {Garden History}, volume = {38}, number = {2}, pages = {267--314}, langid = {english} }"
62,"parmentierCatalogueArbresPlantes1818","Parmentier",1818,"Catalogue des Arbres et Plantes Cultivés dans les Jardins de M Joseph Parmentier","Botanic garden or arboretum","@book{parmentierCatalogueArbresPlantes1818, title = {Catalogue des {{Arbres}} et {{Plantes Cultiv{\'e}s}} dans les {{Jardins}} de {{M Joseph Parmentier}}}, author = {Parmentier, Joseph}, year = {1818}, publisher = {{Demanet and Choppinet}}, address = {{Brussels}} }"
69,"filetPlantenBotanischenTuin1855","Filet",1855,"De planten in den botanischen tuin bij het Groot militair hospitaal te Weltevreden","Botanic garden or arboretum","@book{filetPlantenBotanischenTuin1855, title = {De planten in den botanischen tuin bij het {{Groot}} militair hospitaal te {{Weltevreden}}}, author = {Filet, G. J.}, year = {1855}, publisher = {Lange \& Co.}, address = {Batavia} }"
70,"roxburghHortusBengalensisCatalogue1814","Roxburgh",1814,"Hortus Bengalensis","Botanic garden or arboretum","@book{roxburghHortusBengalensisCatalogue1814, title = {Hortus {{Bengalensis}}, or a {{Catalogue}} of the {{Plants Growing}} in the {{Honourable East India Company}}'s {{Botanic Garden}} at {{Calcutta}}}, author = {Roxburgh, W.}, year = {1814}, publisher = {The Mission Press}, address = {Serampore} }"
71,"jardindeaclimataciondelaorotavaCatalogoPlantasJardin1915","Jardín de Aclimatación de La Orotava",1915,"Catalogo de las plantas del Jardín Botánico de la Orotava","Botanic garden or arboretum","@book{jardindeaclimataciondelaorotavaCatalogoPlantasJardin1915, title = {Catalogo de las plantas del {{Jard{\'i}n Bot{\'a}nico}} de la {{Orotava}}}, author = {{Jard{\'i}n de Aclimataci{\'o}n de La Orotava}}, year = {1915}, publisher = {R. Velasco}, address = {Madrid} }"
72,"broughtonHortusEastensisCatalogue1794","Broughton",1794,"Hortus Eastensis","Botanic garden or arboretum","@book{broughtonHortusEastensisCatalogue1794, title = {Hortus {{Eastensis}}, or, a {{Catalogue}} of {{Exotic Plants Cultivated}} in the {{Botanic Garden}}, in the {{Mountains}} of {{Liguanea}}, in the {{Island}} of {{Jamaica}}}, author = {Broughton, Arthur}, year = {1794}, publisher = {Alexander Aikman}, address = {St. Jago de la Vega} }"
74,"goossensCataloguePlantesJardin1924","Goossens",1924,"Catalogue des Plantes du Jardin Botanique d'Eala (Congo Belge)","Botanic garden or arboretum","@book{goossensCataloguePlantesJardin1924, title = {Catalogue des {{Plantes}} du {{Jardin Botanique}} d'{{Eala}} ({{Congo Belge}})}, author = {Goossens, V.}, year = {1924}, publisher = {Imprimerie Industrielle et Financi{\'e}re}, address = {Brussels} }"
75,"guilfoyleCataloguePlantsCultivation1883","Guilfoyle",1883,"Catalogue of Plants under Cultivation in the Melbourne Botanic Gardens","Botanic garden or arboretum","@book{guilfoyleCataloguePlantsCultivation1883, title = {Catalogue of {{Plants}} under {{Cultivation}} in the {{Melbourne Botanic Gardens}}}, author = {Guilfoyle, W.R.}, year = {1883}, publisher = {John Ferres}, address = {Melbourne} }"
77,"saundersCatalogueTreesShrubs1899","Saunders",1899,"Catalogue of the trees and shrubs in the arboretum and botanic garden at the Central Experimental Farm, Ottawa, Ontario, Canada","Botanic garden or arboretum","@book{saundersCatalogueTreesShrubs1899, title = {Catalogue of the trees and shrubs in the arboretum and botanic garden at the {{Central Experimental Farm}}, {{Ottawa}}, {{Ontario}}, {{Canada}}}, author = {Saunders, William and Macoun, W. T.}, year = {1899}, series = {Second {{Series}}}, number = {2}, publisher = {Goverment Printing Bureau}, address = {Ottawa} }"
78,"trimenHortusZeylanicusClassified1888","Trimen",1888,"Hortus Zeylanicus","Botanic garden or arboretum","@book{trimenHortusZeylanicusClassified1888, title = {Hortus {{Zeylanicus}}: a {{Classified List}} of the {{Plants}}, both {{Native}} and {{Exotic}}, {{Growing}} in the {{Royal Botanic Gardens}}, {{P{\'e}r{\'a}deniya}}, {{Ceylon}}}, author = {Trimen, Henry}, year = {1888}, publisher = {George J. A. Skeen}, address = {Colombo} }"
79,"perrottetCataloguePlantesJardin1867","Perrottet",1867,"Catalogue des plantes du jardin botanique et d'acclimatation du gouvernement à Pondichéry","Botanic garden or arboretum","@book{perrottetCataloguePlantesJardin1867, title = {Catalogue des plantes du jardin botanique et d'acclimatation du gouvernement {\`a} {{Pondich{\'e}ry}}}, author = {Perrottet, George Samuel}, year = {1867}, publisher = {G{\'e}ruzet}, address = {Pondichery} }"
80,"breonCataloguePlantesCultivees1825","Breon",1825,"Catalogue des plantes cultivées aux jardins botanique et de naturalisation de l'Ile Bourbon","Botanic garden or arboretum","@book{breonCataloguePlantesCultivees1825, title = {Catalogue des plantes cultiv{\'e}es aux jardins botanique et de naturalisation de l'{{Ile Bourbon}}}, author = {Breon, Nicolas}, year = {1825}, publisher = {L'imprimerie du gouvernement}, address = {Saint-Denis} }"
81,"rodriguesHortusFluminensisOu1894","Rodrigues",1894,"Hortus Fluminensis: Ou Breve Noticia Sobre As Plantas Cultivadas no Jardim Botanico do Rio de Janeiro para Servir de Guia Aos Visitantes","Botanic garden or arboretum","@book{rodriguesHortusFluminensisOu1894, title = {Hortus {{Fluminensis}}: {{Ou Breve Noticia Sobre As Plantas Cultivadas}} no {{Jardim Botanico}} do {{Rio}} de {{Janeiro}} para {{Servir}} de {{Guia Aos Visitantes}}}, author = {Rodrigues, J. Barbosa}, year = {1894}, publisher = {Leuzinger}, address = {Rio de Janeiro} }"
84,"philippiMemoriaCatalogoPlantas1884","Philippi",1884,"Memoria I Catalogo de las Plantas Cultivadas en El Jardin Botanico","Botanic garden or arboretum","@book{philippiMemoriaCatalogoPlantas1884, title = {Memoria i {{Catalogo}} de Las {{Plantas Cultivadas}} En El {{Jardin Botanico}}}, author = {Philippi, Frederico}, year = {1884}, publisher = {{Imprenta Nacional, Moneda}}, address = {{Santiago}} }"
85,"murtonCataloguePlantsCultivation1879","Murton",1879,"Catalogue of the plants under cultivation in the botanical gardens, Singapore, Straits Settlements","Botanic garden or arboretum","@book{murtonCataloguePlantsCultivation1879, title = {Catalogue of the Plants under Cultivation in the Botanical Gardens, {{Singapore}}, {{Straits Settlements}}}, author = {Murton, H. J.}, year = {1879}, publisher = {{Government Printing Office}}, address = {{Singapore}} }"
87,"prestoePlantsRoyalBotanic1869","Prestoe",1869,"Plants in the Royal Botanic Gardens, Trinidad","Botanic garden or arboretum","@article{prestoePlantsRoyalBotanic1869, title = {Plants in the {{Royal Botanic Gardens}}, {{Trinidad}}}, author = {Prestoe, Henry}, year = {1869}, month = jun, journal = {Proceedings of the Scientific Association of Trinidad}, volume = {4}, pages = {251--355} }"
88,"baileyCataloguePlantsTwo1885","Bailey",1885,"Catalogue of Plants in the two Metropolitan Gardens, the Brisbane Botanic Garden and Bowen Park","Botanic garden or arboretum","@book{baileyCataloguePlantsTwo1885, title = {Catalogue of {{Plants}} in the two {{Metropolitan Gardens}}, the {{Brisbane Botanic Garden}} and {{Bowen Park}}}, author = {Bailey, Frederick Mason}, year = {1885}, publisher = {James C. Beal}, address = {Brisbane} }"
89,"schomburgkCataloguePlantsCultivation1878","Schomburgk",1878,"Catalogue of the Plants under Cultivation in the Government Botanic Gardens Adelaide, South Australia","Botanic garden or arboretum","@book{schomburgkCataloguePlantsCultivation1878, title = {Catalogue of the {{Plants}} under {{Cultivation}} in the {{Government Botanic Gardens Adelaide}}, {{South Australia}}}, author = {Schomburgk, Richard}, year = {1878}, publisher = {W. C. Cox}, address = {Adelaide} }"
93,"hookerCataloguePlantsContained1825","Hooker",1825,"A Catalogue of Plants contained in The Royal Botanic Garden of Glasgow, in the year 1825","Botanic garden or arboretum","@book{hookerCataloguePlantsContained1825, title = {A {{Catalogue}} of {{Plants}} contained in {{The Royal Botanic Garden}} of {{Glasgow}}, in the year 1825}, author = {Hooker, William J.}, year = {1825}, publisher = {{Andrew and John M. Duncan}}, address = {Glasgow} }"
94,"dublinsocietyCataloguePlantsDublin1802","Dublin Society",1802,"Catalogue of Plants of the Dublin Society's Botanic Garden at Glasnevin","Botanic garden or arboretum","@book{dublinsocietyCataloguePlantsDublin1802, title = {Catalogue of {{Plants}} of the {{Dublin Society}}'s {{Botanic Garden}} at {{Glasnevin}}}, author = {{Dublin Society}}, year = {1802}, publisher = {{Graisberry and Campbell}}, address = {Dublin} }"
95,"chevalierCataloguePlantesJardin1919","Chevalier",1919,"Catalogue des plantes du jardin botanique de Saigon","Botanic garden or arboretum","@book{chevalierCataloguePlantesJardin1919, title = {{Catalogue des plantes du jardin botanique de Saigon}}, author = {Chevalier, Auguste}, year = {1919}, publisher = {Imprimerie Nouvelle Albert Portail}, address = {Saigon}, langid = {french} }"
96,"garciamontesFloraOrnamentalAlhambra1997","García Montes",1997,"Flora ornamental de la Alhambra y el Generalife","Botanic garden or arboretum","@phdthesis{garciamontesFloraOrnamentalAlhambra1997, type = {Doctoral}, title = {Flora ornamental de la {{Alhambra}} y el {{Generalife}}}, author = {Garc{\'i}a Montes, Jos{\'e} Manuel}, year = {1997}, address = {Granada, Spain}, school = {Universidad de Granada} }"
97,"ramon-lacamenendezdeluarcaPlantasCultivadasSiglos1999","Ramón-Laca Menéndez de Luarca",1999,"Plantas cultivadas en los siglos XVI y XVII en la Alhambra y el Generalife","Botanic garden or arboretum","@article{ramon-lacamenendezdeluarcaPlantasCultivadasSiglos1999, title = {Plantas cultivadas en los siglos {{XVI}} y {{XVII}} en la {{Alhambra}} y el {{Generalife}}}, author = {{Ram{\'o}n-Laca Men{\'e}ndez de Luarca}, Luis}, year = {1999}, journal = {Cuadernos de la Alhambra}, volume = {35}, pages = {49--56} }"
103,"arboretumwespelaarCatalogWoodyPlants2022","Arboretum Wespelaar",2022,"Catalog of woody plants and perennials","Botanic garden or arboretum","@techreport{arboretumwespelaarCatalogWoodyPlants2022, title = {Catalog of woody plants and perennials}, author = {{Arboretum Wespelaar}}, year = {2022}, address = {{Haacht}} } "
104,"vanmarumCataloguePlantesCultivees1810","van Marum",1810,"Catalogue des plantes cultivées au printems 1810 dans le jardin de M. van Marum à Harlem","Botanic garden or arboretum","@book{vanmarumCataloguePlantesCultivees1810, title = {Catalogue des plantes cultiv{\'e}es au printems 1810 dans le jardin de {{M}}. van {{Marum}} {\`a} {{Harlem}}}, author = {{van Marum}, M.}, year = {1810}, address = {Haarlem} }"
107,"vachaSammlungGeholzeUnd1880","Vácha",1880,"Sammlung der Gehölze und Coniferen im hochfürstlich Schwarzenberg'schen Garten zu Frauenberg","Botanic garden or arboretum","@book{vachaSammlungGeholzeUnd1880, title = {Sammlung der {{Geh{\""o}lze}} und {{Coniferen}} im hochf{\""u}rstlich {{Schwarzenberg}}'schen {{Garten}} zu {{Frauenberg}}}, author = {V{\'a}cha, Rudolf}, year = {1880}, publisher = {F. Zdarssa}, address = {Budweis} }"
113,"botanicalgardenofirkutskstateuniversityDelectusSeminum2020","Botanical Garden of Irkutsk State University",2020,"Delectus Seminum","Botanic garden or arboretum","@techreport{botanicalgardenofirkutskstateuniversityDelectusSeminum2020, title = {Delectus {{Seminum}}}, author = {{Botanical Garden of Irkutsk State University}}, year = {2020}, address = {{Irkutsk}}, institution = {{Irkutsk State University}} } "
131,"kouameDiversiteVegetaleEstimation2013","Kouamé",2013,"Diversité végétale et estimation de la biomasse dans l’arboretum du Centre National de Floristique (Abidjan, Côte d’Ivoire)","Botanic garden or arboretum","@mastersthesis{kouameDiversiteVegetaleEstimation2013, title = {Diversit\'e v\'eg\'etale et estimation de la biomasse dans l'arboretum du {{Centre National}} de {{Floristique}} ({{Abidjan}}, {{C\^ote}} d'{{Ivoire}})}, author = {Kouam{\'e}, Akissi Paule-Sandrine}, year = {2013}, address = {{Abidjan, C\^ote d'Ivoire}}, school = {Universit\'e F\'elix Houphou\""et-Boigny} } "
133,"franka.waugharboretumUMassAmherstTrees2023","Frank A. Waugh Arboretum",2023,"UMass Amherst Trees","Botanic garden or arboretum","@misc{franka.waugharboretumUMassAmherstTrees2023, title = {{{UMass Amherst Trees}}}, author = {{Frank A. Waugh Arboretum}}, year = {2023} } "
135,"gomesCatalogusPlantarumHorti1851","Gomes",1851,"Catalogus Plantarum Horti Botanici Medico-Cirurgicae Scholae Olisiponensis","Botanic garden or arboretum","@book{gomesCatalogusPlantarumHorti1851, title = {Catalogus {{Plantarum Horti Botanici Medico-Cirurgicae Scholae Olisiponensis}}}, author = {Gomes, Bernardino Antonio and Beirao, C. M. Ferreira da Silva}, year = {1851}, publisher = {Typographia Nationali}, address = {Lisbon} }"
136,"aitonEpitomeSecondEdition1814","Aiton",1814,"An Epitome of the Second Edition of Hortus Kewensis","Botanic garden or arboretum","@book{aitonEpitomeSecondEdition1814, title = {An {{Epitome}} of the {{Second Edition}} of {{Hortus Kewensis}}}, author = {Aiton, William T.}, year = {1814}, publisher = {{Longman, Hurst, Rees, Orme, and Brown}}, address = {London} }"
138,"arboretumdelauzelleListeEspeces2023","Arboretum de Lauzelle",2023,"Liste des espèces","Botanic garden or arboretum","@misc{arboretumdelauzelleListeEspeces2023, title = {Liste des esp\`eces}, author = {{Arboretum de Lauzelle}}, year = {2023}, howpublished = {https://uclouvain.be/en/research-institutes/eli/elie/arboretum-de-lauzelle.html} } "
142,"orchardofflavoursFruitTreesDatabase2019","Orchard of Flavours",2019,"Orchard of Flavours fruit trees database","Botanic garden or arboretum","@misc{orchardofflavoursFruitTreesDatabase2019, title = {Fruit trees database}, author = {{Orchard of Flavours}}, year = {2019}, url = {https://www.orchardofflavours.com/already-planted} }"
143,"jardinbotaniquedelavilledelyonListeCompleteCollections2023","Jardin Botanique de la Ville de Lyon",2023,"Liste complète des collections","Botanic garden or arboretum","@misc{jardinbotaniquedelavilledelyonListeCompleteCollections2023, title = {Liste compl{\`e}te des collections}, author = {{Jardin Botanique de la Ville de Lyon}}, year = {2023}, month = jan, url = {http://www.jardin-botanique-lyon.com/static/jbot/contenu/jardin_botanique/images/cote%20science/collections%20vivantes/gestion%20des%20collections/INVENTAIRE_COLLECTIONS_2023.01.04.xlsx}, urldate = {2023-08-21} }"
147,"quezadabonillaEspeciesArboreasArboretum2010","Quezada Bonilla",2010,"Especies arbóreas del Arboretum Alain Meyrat","Botanic garden or arboretum","@book{quezadabonillaEspeciesArboreasArboretum2010, title = {{Especies arb\'oreas del Arboretum Alain Meyrat}}, author = {Quezada Bonilla, Jos{\'e} Benito and Garmendia Zapata, Miguel and Meyrat, Alain}, year = {2010}, volume = {Volumen I}, publisher = {{Universidad Nacional Agraria}}, address = {{Managua, Nicaragua}}, collaborator = {{Universidad Nacional Agraria (Nicaragua)} and {DIEP (University directorate : Managua, Nicaragua)}}, isbn = {978-99924-1-007-3 978-99924-1-015-8}, langid = {spanish}, lccn = {QK220 .Q49 2010}, keywords = {Arboretum Alain Meyrat,{Handbooks, manuals, etc},Nicaragua Managua,Shrubs,Trees} } "
148,"quezadabonillaEspeciesArboreasArbustivas2012","Quezada Bonilla",2012,"Especies arbóreas y arbustivas del Arboretum Alain Meyrat","Botanic garden or arboretum","@book{quezadabonillaEspeciesArboreasArbustivas2012, title = {{Especies arb\'oreas y arbustivas del Arboretum Alain Meyrat}}, author = {Quezada Bonilla, Jos{\'e} Benito and Garmendia Zapata, Miguel and Meyrat, Alain Kheim}, year = {2012}, volume = {Volumen II}, publisher = {{Universidad Nacional Agraria}}, address = {{Managua, Nicaragua}}, collaborator = {{Universidad Nacional Agraria (Nicaragua)} and {DIEP (University directorate : Managua, Nicaragua)}}, isbn = {978-99924-1-015-8}, langid = {spanish}, lccn = {QK220 .Q49 2010}, keywords = {Arboretum Alain Meyrat,{Handbooks, manuals, etc},Nicaragua Managua,Shrubs,Trees} } "
152,"meisebotanicgardenLivingPlantCollection2019","Meise Botanic Garden",2019,"Living plant collection of Meise Botanic Garden","Botanic garden or arboretum","@misc{meisebotanicgardenLivingPlantCollection2019, title = {Living plant collection of {{Meise Botanic Garden}}}, author = {{Meise Botanic Garden}}, year = {2019}, publisher = {Botanic Garden Meise}, doi = {10.15468/YEFL6D}, url = {https://www.gbif.org/dataset/68c91b9a-2322-4f60-8d58-2c696a73a11c}, urldate = {2021-12-13}, collaborator = {Dillen, Mathias and Groom, Quentin and Dillen, Mathias and Vanderborght, Thierry}, langid = {english} }"
154,"centralbotanicalgardenofthenationalacademyofscienceofbelarusIndexSeminumHortus2023","National Academy of Science of Belarus",2023,"Index seminum Hortus Botanicus Centralis National Scientiarum Belarusiae","Botanic garden or arboretum","@techreport{centralbotanicalgardenofthenationalacademyofscienceofbelarusIndexSeminumHortus2023, title = {Index seminum {{Hortus Botanicus Centralis National Scientiarum Belarusiae}}}, author = {{Central Botanical Garden of the National Academy of Science of Belarus}}, editor = {Gulis, Anastasia and Anoshenko, Boris}, year = {2023}, number = {N 57}, address = {{Minsk}} } "
157,"decandolleCatalogusPlantarumHorti1813","de Candolle",1813,"Catalogus Plantarum Horti Botanici Monspeliensis","Botanic garden or arboretum","@book{decandolleCatalogusPlantarumHorti1813, title = {Catalogus {{Plantarum Horti Botanici Monspeliensis}}}, author = {{de Candolle}, A. P.}, year = {1813}, publisher = {Am. Koenig}, address = {Montpellier} }"
160,"pallasEnumeratioPlantarumQuae1781","Pallas",1781,"Enumeratio plantarum quae in horto viri illustris atque excell. Dni. Procopii à Demidof","Botanic garden or arboretum","@book{pallasEnumeratioPlantarumQuae1781, title = {Enumeratio plantarum quae in horto viri illustris atque excell. {{Dni}}. {{Procopii}} {\`a} {{Demidof}}}, author = {Pallas, Peter Simon}, year = {1781}, publisher = {Typis Acad. Imder. Scientiarum}, address = {St. Petersburg} }"
162,"petzoldArboretumMuscaviense1864","Petzold",1864,"Arboretum Muscaviense","Botanic garden or arboretum","@book{petzoldArboretumMuscaviense1864, title = {Arboretum {{Muscaviense}}}, author = {Petzold, E. and Kirchner, G.}, year = {1864}, address = {Gotha} }"
